taxa,PC1,PC2,PC3
N0178,66.4069985431686,21.3526765122396,-9.51137660292276
N0179,88.9088727793515,42.3073662508257,-18.4224592254537
N0180,103.58499877962,39.9013604905041,-23.0683934247198
N0181,52.374861090006,24.0423102623328,-22.5611431653707
N0182,11.3860996629374,-23.7207078503553,-25.9792310762042
N0183,-129.470398203952,6.80550970867923,33.0181486389671
N0184,37.5859984998525,1.08962883649242,-25.2459620617305
N0185,30.0471585072188,35.2642621527765,22.0711594326426
N0186,49.5168718606394,-16.7736425553508,-24.3849296625458
N0187,106.142727928706,27.4570614671539,-18.0231042973137
N0188,38.2126966100009,17.4620026271705,18.3789042627097
N0189,-53.3549173300346,2.81309466723847,3.30175297855886
N0190,-2.64304164475615,25.5067654277207,24.7424499304063
N0191,20.0309738779145,24.904036916599,-2.53799887576195
N0192,87.4836622614351,27.7164987845712,-18.6258653281979
N0193,-54.2382725356097,7.6446538511738,18.7134529342904
N0194,57.5013288818879,43.96672311993,-26.9466000091364
N0195,91.7269044034441,50.9243499142024,-33.9989755989231
N0196,4.95371545410154,24.4921692931576,-23.5697313849305
N0197,-11.455775650675,20.3385385074773,6.28368668904395
N0198,-62.6998144918228,15.2097097475767,-11.7653527952479
N0199,-32.2581887356498,20.4943474479003,15.9432132571011
N0200,96.7899808425825,42.1818940398033,-20.8013792200564
N0201,-11.6001386651993,17.6745728090217,7.66664095716888
N0202,-97.6425828397875,6.3903833851176,27.6514616800121
N0203,15.4981958883183,25.256791588121,8.70063717689809
N0204,0.69026041633571,31.8886229021834,7.68424921535816
N0205,33.0010460661027,36.0572797992194,-8.50681130170204
N0206,-8.07587590033783,28.0185823863141,22.319743088927
N0207,-118.928319309175,-1.5664562059144,-1.12609525963156
N0208,61.8661083486809,36.8034127893384,-15.2476909179218
N0209,-46.2941939418075,0.273168263581522,-13.8459463736303
N0210,-134.882320348744,3.17482501316079,-2.22289486636306
N0325,49.7926184328034,44.1655101519873,-17.3590168707351
N0326,-101.137304236389,10.2008504135987,36.1073089134836
N0211,6.78424833995192,19.0023834984296,-10.9888765203895
N0212,73.1177887458286,29.7247565214446,-12.4143476236168
N0213,-40.1674599372616,32.2399382008557,20.5442085793113
N0214,77.7846266879078,18.2012866154168,-6.26449413855086
N0215,62.466190822714,5.33275767742531,-5.69156880125967
N0216,69.0709982718793,10.1012252379295,-8.50708479797585
N0217,50.3572817178716,2.76894584458091,12.5692401194134
N0218,-11.03218912525,21.4088286895902,-10.6625629724609
N0219,-25.0661659732637,22.6443115350487,-7.49194214166094
N0220,-106.542340681676,2.36442077387366,-1.00599384639655
N0221,-150.635193622369,-6.19300138025192,-14.1603266129651
N0222,-72.4684617056631,7.30068822405632,17.2041112306742
N0223,-107.227328310148,7.64223671679035,21.1201310229437
N0224,-85.8786204771861,13.3810435763029,11.7859808837168
N0225,-22.8297073053624,32.7980777457705,-0.679060878331423
N0226,8.58787128878162,42.3268543255324,17.3604939859492
N0227,-30.7936937094902,10.3336767200774,11.4819094968995
N0228,22.0702828211209,25.219485267612,-4.36308789414063
N0229,74.5829027589326,38.3585034915152,-30.4130813370842
N0230,81.3599574697977,4.20965179411628,-10.6226884236567
N0231,-26.744651990943,10.1143498439695,41.7153618616716
N0232,49.6174112253242,35.1848209914179,-12.4984065596132
N0233,98.8574809026333,34.9044705765658,-11.6655246644203
