taxa,PC1,PC2,PC3,PC4,PC5
CML254,11.5189394068407,9.31814201014336,-1.67762137040208,1.16547459253763,-0.00468662022556868
CML258,11.0547272217939,8.89133389262534,0.617615050787851,-2.06459818281082,0.0118656155787167
CML261,9.81519564317875,8.44677015003207,-0.629245748205665,-1.0804502770631,2.11613755759758
CML264,9.35614438588536,8.63836977040495,-3.3636147843115,0.119422964218874,-0.363916738640905
CML277,9.65379983163094,8.78907770904826,-1.80588718946238,-4.42705694296314,-0.126821206549557
CML281,4.77360251309121,5.69526704333064,-2.72878531986746,0.354219982616195,-0.47664258619493
CML287,6.88147871197786,8.20169248801855,-2.90521113596169,-3.83322529167528,-1.53182817972095
CML311,9.10788415012932,7.72347356989754,-2.08030520882787,-1.51064424089178,-1.75701617456888
CML314,9.87881314964079,9.37999632116716,-3.99693555862446,0.144209479219595,-0.101119918740273
CML321,10.1613571923317,9.0826187206046,1.02165529496287,-0.256051931909423,0.0806940172993231
CML322,9.32360031394461,8.95946594279611,-3.5264491365321,-3.04422548163548,0.133679025363842
CML323,5.28375766509467,3.79264719111467,1.23464061584748,1.12149710028017,-3.58646258075589
CML328,8.31291200139666,3.38222158668697,-0.995687706780087,-2.04873630926323,-1.94186444542935
CML331,9.43859063297207,10.6997550984148,-3.81812351802454,-2.15330808261441,-1.11257807800184
CML332,9.74532644400315,10.0454948809647,-2.25812830647216,-1.82886265892727,-1.54418852513019
CML333,7.10950868506502,6.08993850051201,-1.73315049789717,0.00776818625144072,-0.434504342288787
CML341,10.88650207116,8.75550465375303,0.496542386675938,-1.73588608741891,-0.901108850647316
CML38,9.69935105676473,7.28330502719612,-3.18007014124564,-1.26734429688109,1.62777388797697
CML45,10.2021223994167,7.79426761179838,-1.08300978334616,-1.42952604291669,-1.71175800503868
CML5,10.2719636225785,8.06669058676236,-2.83344289601365,-1.49479560377598,1.61656725781854
CML52,9.51331867752957,8.4803455323705,1.05650146917476,-1.22915775060598,1.05710355461858
